Entity,Code,Year,Fossil fuels (TWh)
Africa,,1965,674.3026733398438
Africa,,1966,703.2786865234375
Africa,,1967,708.9625244140625
Africa,,1968,743.4017333984375
Africa,,1969,756.0577392578125
Africa,,1970,810.0494995117188
Africa,,1971,874.9830322265625
Africa,,1972,919.5540771484375
Africa,,1973,998.1819458007812
Africa,,1974,1037.96435546875
Africa,,1975,1101.12353515625
Africa,,1976,1194.635986328125
Africa,,1977,1255.098876953125
Africa,,1978,1307.366455078125
Africa,,1979,1427.0284423828125
Africa,,1980,1547.7098388671875
Africa,,1981,1748.1517333984375
Africa,,1982,1873.1365966796875
Africa,,1983,1949.0736083984375
Africa,,1984,2004.552734375
Africa,,1985,2073.1005859375
Africa,,1986,2107.220458984375
Africa,,1987,2193.772705078125
Africa,,1988,2334.87353515625
Africa,,1989,2331.018310546875
Africa,,1990,2418.7265625
Africa,,1991,2404.102783203125
Africa,,1992,2450.6259765625
Africa,,1993,2464.4345703125
Africa,,1994,2548.160400390625
Africa,,1995,2650.496337890625
Africa,,1996,2713.39111328125
Africa,,1997,2765.767822265625
Africa,,1998,2799.884521484375
Africa,,1999,2884.59033203125
Africa,,2000,2940.939208984375
Africa,,2001,3043.2265625
Africa,,2002,3084.193359375
Africa,,2003,3253.369873046875
Africa,,2004,3488.740966796875
Africa,,2005,3501.773193359375
Africa,,2006,3571.256103515625
Africa,,2007,3706.443603515625
Africa,,2008,3940.738037109375
Africa,,2009,4002.8388671875
Africa,,2010,4111.78662109375
Africa,,2011,4141.9970703125
Africa,,2012,4312.08740234375
Africa,,2013,4421.34765625
Africa,,2014,4529.45947265625
Africa,,2015,4643.54345703125
Africa,,2016,4767.708984375
Africa,,2017,4866.9013671875
Africa,,2018,4964.65234375
Africa,,2019,5043.08251953125
Africa,,2020,4704.92578125
Africa,,2021,4996.09765625
Africa (BP),,1965,674.3026733398438
Africa (BP),,1966,703.2786865234375
Africa (BP),,1967,708.9625244140625
Africa (BP),,1968,743.4017333984375
Africa (BP),,1969,756.0578002929688
Africa (BP),,1970,810.0494995117188
Africa (BP),,1971,874.9830322265625
Africa (BP),,1972,919.5540771484375
Africa (BP),,1973,998.1819458007812
Africa (BP),,1974,1037.96435546875
Africa (BP),,1975,1101.12353515625
Africa (BP),,1976,1194.635986328125
Africa (BP),,1977,1255.098876953125
Africa (BP),,1978,1307.366455078125
Africa (BP),,1979,1427.0284423828125
Africa (BP),,1980,1547.7098388671875
Africa (BP),,1981,1748.15185546875
Africa (BP),,1982,1873.1365966796875
Africa (BP),,1983,1949.073486328125
Africa (BP),,1984,2004.552734375
Africa (BP),,1985,2073.1005859375
Africa (BP),,1986,2107.220458984375
Africa (BP),,1987,2193.772705078125
Africa (BP),,1988,2334.87353515625
Africa (BP),,1989,2331.018310546875
Africa (BP),,1990,2418.7265625
Africa (BP),,1991,2404.102783203125
Africa (BP),,1992,2450.6259765625
Africa (BP),,1993,2464.4345703125
Africa (BP),,1994,2548.160400390625
Africa (BP),,1995,2650.496337890625
Africa (BP),,1996,2713.39111328125
Africa (BP),,1997,2765.767578125
Africa (BP),,1998,2799.88427734375
Africa (BP),,1999,2884.59033203125
Africa (BP),,2000,2940.939208984375
Africa (BP),,2001,3043.2265625
Africa (BP),,2002,3084.193359375
Africa (BP),,2003,3253.3701171875
Africa (BP),,2004,3488.74072265625
Africa (BP),,2005,3501.7734375
Africa (BP),,2006,3571.256103515625
Africa (BP),,2007,3706.443603515625
Africa (BP),,2008,3940.73779296875
Africa (BP),,2009,4002.8388671875
Africa (BP),,2010,4111.78662109375
Africa (BP),,2011,4141.9970703125
Africa (BP),,2012,4312.0869140625
Africa (BP),,2013,4421.34765625
Africa (BP),,2014,4529.45947265625
Africa (BP),,2015,4643.54345703125
Africa (BP),,2016,4767.708984375
Africa (BP),,2017,4866.9013671875
Africa (BP),,2018,4964.65234375
Africa (BP),,2019,5043.08251953125
Africa (BP),,2020,4704.92578125
Africa (BP),,2021,4996.09765625
Algeria,DZA,1965,23.649850845336914
Algeria,DZA,1966,28.782794952392578
Algeria,DZA,1967,27.035037994384766
Algeria,DZA,1968,28.68020248413086
Algeria,DZA,1969,32.471717834472656
Algeria,DZA,1970,35.043846130371094
Algeria,DZA,1971,38.75703811645508
Algeria,DZA,1972,43.184139251708984
Algeria,DZA,1973,51.02702331542969
Algeria,DZA,1974,57.439308166503906
Algeria,DZA,1975,69.39978790283203
Algeria,DZA,1976,80.95184326171875
Algeria,DZA,1977,89.41717529296875
Algeria,DZA,1978,112.62222290039062
Algeria,DZA,1979,147.67971801757812
Algeria,DZA,1980,176.38299560546875
Algeria,DZA,1981,214.10391235351562
Algeria,DZA,1982,246.69570922851562
Algeria,DZA,1983,270.2717590332031
Algeria,DZA,1984,258.859619140625
Algeria,DZA,1985,260.3863525390625
Algeria,DZA,1986,276.75128173828125
Algeria,DZA,1987,283.69256591796875
Algeria,DZA,1988,304.88067626953125
Algeria,DZA,1989,296.3999938964844
Algeria,DZA,1990,314.57452392578125
Algeria,DZA,1991,311.2286682128906
Algeria,DZA,1992,319.638427734375
Algeria,DZA,1993,296.9511413574219
Algeria,DZA,1994,301.43023681640625
Algeria,DZA,1995,312.5741271972656
Algeria,DZA,1996,309.5255126953125
Algeria,DZA,1997,297.63800048828125
Algeria,DZA,1998,307.7132263183594
Algeria,DZA,1999,310.83392333984375
Algeria,DZA,2000,299.78594970703125
Algeria,DZA,2001,310.6102294921875
Algeria,DZA,2002,321.7841491699219
Algeria,DZA,2003,336.153564453125
Algeria,DZA,2004,349.05450439453125
Algeria,DZA,2005,364.68145751953125
Algeria,DZA,2006,378.60089111328125
Algeria,DZA,2007,399.0007019042969
Algeria,DZA,2008,422.76165771484375
Algeria,DZA,2009,447.9042053222656
Algeria,DZA,2010,438.48944091796875
Algeria,DZA,2011,463.3955078125
Algeria,DZA,2012,506.531982421875
Algeria,DZA,2013,536.6290283203125
Algeria,DZA,2014,584.9251708984375
Algeria,DZA,2015,616.9202880859375
Algeria,DZA,2016,616.09619140625
Algeria,DZA,2017,622.2537841796875
Algeria,DZA,2018,669.4301147460938
Algeria,DZA,2019,692.8366088867188
Algeria,DZA,2020,652.4639892578125
Algeria,DZA,2021,682.7947998046875
Argentina,ARG,1965,324.896240234375
Argentina,ARG,1966,335.4955139160156
Argentina,ARG,1967,345.26361083984375
Argentina,ARG,1968,356.4012756347656
Argentina,ARG,1969,368.9255676269531
Argentina,ARG,1970,348.68902587890625
Argentina,ARG,1971,369.968017578125
Argentina,ARG,1972,374.74853515625
Argentina,ARG,1973,387.4430847167969
Argentina,ARG,1974,394.3475646972656
Argentina,ARG,1975,380.3053283691406
Argentina,ARG,1976,400.35211181640625
Argentina,ARG,1977,419.52996826171875
Argentina,ARG,1978,410.75860595703125
Argentina,ARG,1979,435.2419128417969
Argentina,ARG,1980,420.25177001953125
Argentina,ARG,1981,406.3126220703125
Argentina,ARG,1982,408.8196716308594
Argentina,ARG,1983,421.58514404296875
Argentina,ARG,1984,415.1765441894531
Argentina,ARG,1985,403.81707763671875
Argentina,ARG,1986,430.07080078125
Argentina,ARG,1987,448.33245849609375
Argentina,ARG,1988,478.7455749511719
Argentina,ARG,1989,467.7825012207031
Argentina,ARG,1990,439.54608154296875
Argentina,ARG,1991,451.96917724609375
Argentina,ARG,1992,482.11761474609375
